% 1.Title: Kinopoisk serials database
%
% 2.Sources:
%   (a) Creator: Vysotin Danil
%   (b) Date: October, 2024
%
@RELATION kinopoisk

@ATTRIBUTE id integer
@ATTRIBUTE title string
@ATTRIBUTE rating numeric
@ATTRIBUTE number_of_ratings integer
@ATTRIBUTE country string
@ATTRIBUTE genre {драма,комедия,боевик,фантастика,ужасы,мелодрама,триллер,приключения,документальный,аниме,криминал,история,фэнтези,спорт,мультфильм,детский,музыка,военный,детектив,биография,мюзикл,реальноеТВ,игра}
@ATTRIBUTE director string
@ATTRIBUTE age_rate {0+,6+,12+,16+,18+}
@ATTRIBUTE year integer
@ATTRIBUTE review_count integer
@ATTRIBUTE duration_minutes integer

@DATA
1,'Триггер',8.5,1292000,'Россия',драма,'Дмитрий Тюрин',18+,2018,49,52
2,'Игра престолов',9.0,1169000,'США',фэнтези,'Дэвид Наттер',18+,2011,511,55
3,'Беспринципные',7.7,1035000,'Россия',комедия,'Роман Прыгунов',18+,2020,40,47
4,'Мажор',8.2,882822,'Россия',драма,'Константин Статский',18+,2014,78,52
5,'Король и Шут',8.2,879818,'Россия',драма,'Рустам Мосафир',18+,2023,245,50
6,'Ну, погоди!',8.7,854750,'СССР',мультфильм,'Вячеслав Котёночкин',0+,1969,47,10
7,'Монастырь',7.4,854274,'Россия',драма,'Александр Молочников',18+,2022,36,50
8,'Маша и Медведь',7.3,840061,'Россия',мультфильм,'Олег Кузовков',0+,2009,77,7
9,'Постучись в мою дверь',8.1,824418,'Турция',мелодрама,'Алтан Дёнмез',18+,2020,38,45
10,'Два холма',7.6,792023,'Россия',комедия,'Дмитрий Грибанов',18+,2022,50,26
11,'Вампиры средней полосы',8.3,768389,'Россия',детектив,'Антон Маслов',18+,2021,95,50
12,'Пищеблок',7.4,716886,'Россия',триллер,'Святослав Подгаевский',18+,2021,149,50
13,'Атака титанов',8.7,706940,'Япония',аниме,'Тэцуро Араки',18+,2013,114,24
14,'Дом Дракона',8.1,644769,'США',фэнтези,'Клер Килнер',18+,2022,77,60
15,'Фишер',7.9,644412,'Россия',детектив,'Сергей Тарамаев',18+,2023,68,60
16,'Чернобыль',8.8,613401,'США',драма,'Йохан Ренк',18+,2019,252,59
17,'Папины дочки. Новые',8.3,612181,'Россия',комедия,'Александр Жигалкин',12+,2023,24,24
18,'Трудные подростки',8.2,604053,'Россия',драма,'Рустам Ильясов',18+,2019,22,25
19,'Топи',6.9,601225,'Россия',триллер,'Владимир Мирзоев',18+,2021,135,55
20,'Медиатор',8.1,591705,'Россия',драма,'Артем Аксененко',18+,2021,51,48
21,'Метод',8.2,580848,'Россия',триллер,'Юрий Быков',18+,2015,198,53
22,'Кибердеревня',8.1,566395,'Россия',фантастика,'Сергей Васильев',12+,2023,42,25
23,'Смешарики',7.8,539174,'Россия',мультфильм,'Денис Чернов',0+,2003,51,6
24,'Кухня',8.2,536210,'Россия',комедия,'Дмитрий Дьяченко',18+,2012,111,25
25,'Внутри убийцы',7.4,531482,'Россия',детектив,'Владимир Мирзоев',18+,2024,29,50
26,'Нулевой пациент',8.4,501961,'Россия',драма,'Сергей Трофимов',18+,2022,51,50
27,'Инспектор Гаврилов',8.2,500902,'Россия',комедия,'Кирилл Васильев',18+,2023,3,?
28,'Настоящий детектив',8.6,464317,'США',детектив,'Кэри Дзёдзи Фукунага',18+,2014,431,60
29,'Фиксики',7.5,457026,'Россия',мультфильм,'Василий Бедошвили',0+,2010,15,6
30,'Игры',7.9,453043,'Россия',драма,'Евгений Стычкин',16+,2024,22,60
31,'Леди Баг и Супер-Кот',8.3,444600,'Франция',мультфильм,'Томас Астрюк',6+,2015,39,22
32,'Телохранители',8.0,438713,'Россия',комедия,'Константин Смирнов',18+,2023,3,?
33,'Три кота',8.2,426107,'Россия',мультфильм,'Дмитрий Высоцкий',0+,2015,8,5
34,'Конец света',7.4,422850,'Россия',комедия,'Александр Незлобин',18+,2022,29,49
35,'Закрыть гештальт',7.7,403999,'Россия',комедия,'Максим Пежемский',18+,2022,25,45
36,'Контейнер',7.7,399348,'Россия',драма,'Максим Свешников',18+,2021,14,48
37,'Простоквашино',7.8,386603,'Россия',мультфильм,'Михаил Солошенко',0+,2018,23,6
38,'Библиотекарь',7.5,374949,'Россия',фэнтези,'Игорь Твердохлебов',18+,2023,29,50
39,'Фандорин. Азазель',7.3,373705,'Россия',приключения,'Нурбек Эген',18+,2022,67,52
40,'Проект «Анна Николаевна»',7.5,367836,'Россия',комедия,'Максим Пежемский',18+,2020,40,51
41,'Новичок',8.4,360422,'США',боевик,'Билл Роу',18+,2018,40,43
42,'Оффлайн',7.9,357747,'Россия',триллер,'Кирилл Плетнёв',18+,2022,38,52
43,'Барбоскины',6.9,348882,'Россия',мультфильм,'Екатерина Салабай',0+,2011,29,5
44,'Цикады',7.6,345407,'Россия',драма,'Евгений Стычкин',18+,2023,33,50
